tol,solver,small_count,small_time,small_cvio,med_count,med_time,med_cvio,large_count,large_time,large_cvio,total_count,total_time,total_cvio
0.0001,MadNLP+Ma86 (CPU),16,0.10497711276841315,2.2732756121968123e-6,16,3.041374348504922,3.934800556493201e-7,29,36.68859903347758,1.4299942030504553e-6,61,13.648392935700233,1.3793101842907163e-6
0.0001,Ipopt+Ma27 (CPU),16,0.04059290153885087,1.7416588313778902e-6,16,0.8946742085281745,8.221370595862254e-6,30,22.62927809879902,6.518165458047065e-6,62,8.794631326407476,5.725055094885079e-6
0.0001,MadNLP+HybridKKT (GPU),16,0.18775318165451615,1.307037049258497e-6,14,8.587831691084968,2.1427543472896105e-6,23,39.99288414287247,1.2101864044211652e-7,53,16.746661973440983,1.013105292102523e-6
0.0001,MadNLP+LiftedKKT (GPU),16,0.17071244708082034,0.0007321651939946605,16,0.689480983738715,0.0017790083663928868,31,8.253032989612628,0.0019114424038146893,63,3.91326571364257,0.0015782970566924348
0.0001,MadNCL (GPU),15,3.547768942796722,1.5694907935071e-5,15,4.727238737362523,0.005400472810890733,25,32.69303126379085,0.00176154631148151,55,14.972038251291593,0.0022776307784546646
1.0e-8,MadNLP+Ma86 (CPU),16,0.13682737168799797,7.219197506458386e-8,16,4.212301036190427,1.7722269873843288e-7,29,42.19916869021267,1.8430629111776398e-7,61,15.594451988079435,1.53041266770515e-7
1.0e-8,Ipopt+Ma27 (CPU),16,0.04883796512670813,6.869747970483786e-8,16,1.0390365798653143,1.7645784566866496e-7,30,23.99627059271532,1.9182697563735474e-7,62,9.261411802632182,1.5608539349898365e-7
1.0e-8,MadNLP+HybridKKT (GPU),16,0.23248303788129832,6.907835370384419e-8,14,9.611153642259872,1.806649105873248e-7,21,58.75780920608295,1.973863401616427e-7,51,21.965184082017966,1.5254265761655006e-7
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.35468517490927454,7.273647817385154e-8,15,4.584551753027263,1.7831932908052295e-7,28,18.664228744260388,1.8055020767349106e-7,59,9.010815052899169,1.5074541437343214e-7
1.0e-8,MadNCL (GPU),15,3.628750678244254,6.424735943255655e-8,15,5.299681922084087,1.7325724854799773e-7,24,39.617218293638906,1.7671768759441875e-7,54,17.272376765857434,1.445146953216181e-7
